index;parent_index;operations;direction
843;2113;r;0
844;114;rr;1
845;1067;rrr;0
846;1418;r;0
847;1419;r;0
848;44;rrr;2
849;45;rrr;3
850;27;rrr;0
851;2046;r;2
852;1808;rr;1
853;1386;r;0
854;3417;rr;2
855;2673;r;3
856;1864;rrr;1
857;5869;r;1
858;2073;rrr;3
859;4365;r;2
860;3492;r;0
861;4638;rrr;1
862;5091;rr;2
863;2547;rrr;0
864;2236;r;0
865;5128;r;3
866;2301;r;0
867;6553;rrr;2
868;1470;rrr;0
869;2352;rrr;1
870;616;rr;3
871;4857;rrr;1
872;5692;rrr;2
873;3991;rr;2
874;6171;rr;0
875;501;rr;2
876;1093;rrr;0
877;3704;rrr;0
878;3705;rrr;0
879;3706;r;0
880;589;rrr;0
881;2981;rr;3
882;4329;rr;3
883;1136;rr;0
884;4267;rr;1
885;1327;rr;2
886;4990;rrr;0
887;3345;rr;0
888;1101;rrr;0
889;3732;rrr;1
890;3733;rrr;0
891;1385;r;0
892;5483;r;0
893;3891;r;0
894;3892;r;0
895;4932;rrr;0
896;265;rrr;2
897;6266;rrr;3
898;2177;rr;3
899;2460;rr;3
900;3456;r;3
901;6663;rrr;3
902;849;rrd;0
903;4622;rrr;0
904;2129;r;1
905;5325;rr;3
906;2303;rrr;0
907;2073;rr;1
908;1065;rr;1
909;3917;rrr;2
910;3975;r;1
911;4080;rrr;0
912;1924;rrr;1
913;812;rr;0
914;1250;rr;2
915;3307;rr;1
916;1722;r;0
917;890;r;0
918;144;r;1
919;3485;rrr;0
920;2711;r;2
921;3423;rrr;1
922;498;rr;3
923;4968;rrr;1
924;5468;r;0
925;4447;rr;0
926;3566;rrr;2
927;25;r;1
928;4838;rr;3
929;3535;rrr;1
930;3199;rr;0
931;234;rr;3
932;1828;rr;3
933;3054;rr;0
934;2015;rrr;3
935;243;rrr;0
936;6985;rr;0
937;1742;r;1
938;4368;rrr;0
939;3776;r;3
940;5948;rr;1
941;1394;r;0
942;3643;r;0
943;3644;r;1
944;558;rr;3
945;3916;rrr;0
946;636;rr;0
947;1922;rrr;3
948;402;rrr;3
949;522;rrr;2
950;611;rrr;1
951;1448;r;2
952;1862;rrr;1
953;470;r;1
954;6426;rrr;1
955;6651;rr;0
956;4887;rrr;2
957;2287;r;0
958;3664;r;2
959;2562;rrr;1
960;6616;r;3
961;5897;rr;0
962;24;rr;1
963;610;rrr;0
964;7134;r;1
965;5774;rr;3
966;3716;rr;3
967;2706;rrr;1
968;5067;rrr;1
969;3239;d;2
970;4554;rrr;0
971;1068;rrr;2
972;3533;rrr;1
973;3534;rrr;1
974;3536;r;0
975;3626;r;0
976;406;r;0
977;993;rrr;0
978;496;rrr;1
979;143;rr;3
980;3679;r;3
981;1496;r;0
982;6268;r;0
983;4831;rr;3
984;5781;rrr;2
985;636;r;0
986;1978;rrrd;2
987;5825;rrr;2
988;364;rrr;2
989;3554;rrr;2
990;3555;rrr;2
991;4014;rr;0
992;5237;rr;1
993;188;rr;0
994;4828;r;2
995;7296;rr;1
996;3244;rrr;1
997;4328;r;3
998;1390;r;1
999;5866;r;0
1000;2527;rrr;0
1001;2528;rrr;0
1002;6767;r;0
1003;6768;r;0
1004;3327;rrr;0
1005;3328;rrr;0
1006;198;rr;1
1007;571;rrr;3
1008;4014;rd;1
1009;1752;rr;1
1010;1801;rrr;1
1011;6580;rrr;0
1012;3029;rr;0
1013;141;rr;0
1014;297;rr;3
1015;2488;rrr;1
1016;3918;r;1
1017;6898;r;1
1018;6787;rrr;2
1019;1515;r;0
1020;4635;rrr;3
1021;2616;rr;1
1022;924;rrr;0
1023;3189;rrr;0
1024;3190;rrr;0
1025;2659;rr;1
1026;6554;rr;3
1027;5127;r;1
1028;5056;rr;0
1029;409;r;0
1030;6667;r;0
1031;890;rrr;1
1032;6524;r;3
1033;6355;rrr;1
1034;6356;rrr;0
1035;7031;r;0
1036;3776;rr;1
1037;3777;rr;0
1038;1295;rr;3
1039;143;r;1
1040;199;r;3
1041;2133;rrr;0
1042;7401;r;1
1043;40;rrr;0
1044;578;r;0
1045;2673;rrr;0
1046;6235;rr;3
1047;2270;rrr;0
1048;3205;r;3
1049;5802;rr;3
1050;5803;rr;0
1051;7505;rrr;0
1052;7506;rrr;0
1053;1205;rr;1
1054;7178;rrr;0
1055;980;r;3
1056;5287;rrr;1
1057;928;r;0
1058;7091;rrr;0
1059;3777;r;0
1060;1106;rrr;3
1061;4104;rr;2
1062;6240;rr;2
1063;467;rrr;1
1064;2559;rr;3
1065;4232;r;1
1066;7215;r;3
1067;28;r;1
1068;7346;r;1
1069;3824;r;2
1070;1478;r;0
1071;7605;rrr;3
1072;6241;r;0
1073;6816;rr;2
1074;976;r;3
1075;4281;rrr;3
1076;1931;rr;1
1077;6576;r;3
1078;2351;rr;1
1079;6147;rrr;1
1080;6857;rr;2
1081;5597;rr;0
1082;4565;rrr;0
1083;4566;rrr;0
1084;3679;rr;1
1085;5452;rrr;1
1086;6165;rrrd;0
1087;1406;rrr;3
1088;145;rr;0
1089;1473;rrr;1
1090;2911;r;2
1091;3763;rrr;0
1092;5993;rrr;1
1093;6265;rrr;0
1094;2460;rrr;1
1095;951;rrr;0
1096;5371;rrr;3
1097;275;rrr;0
1098;3491;rr;0
1099;655;rrrd;3
1100;401;d;1
1101;1501;r;2
1102;1091;r;3
1103;3997;r;0
1104;5485;r;2
1105;1373;r;0
1106;4562;r;0
1107;6896;rrr;0
1108;114;rrr;3
1109;3038;rrr;1
1110;436;r;3
1111;5129;r;1
1112;5678;r;1
1113;2290;rr;1
1114;4826;rr;1
1115;7538;rrr;3
1116;472;rr;1
1117;473;rr;2
1118;1723;r;3
1119;1406;r;0
1120;1169;r;1
1121;4104;r;1
1122;2013;rr;0
1123;5609;rr;0
1124;5610;rr;1
1125;7204;rrr;0
1126;7205;rrr;1
1127;7206;rrr;2
1128;7123;r;1
1129;329;rrr;3
1130;659;rr;2
1131;3403;r;0
1132;1521;rr;2
1133;7816;rrr;2
1134;2986;r;3
1135;317;rrr;0
1136;4871;rr;2
1137;6394;rr;1
1138;6881;rr;0
1139;7161;rr;2
1140;1368;r;1
1141;3390;rr;3
1142;4758;rrr;1
1143;4759;rrr;2
1144;7239;r;0
1145;4542;rr;3
1146;4405;r;1
1147;4406;r;0
1148;4848;r;1
1149;8041;rr;2
1150;235;rrr;1
1151;4988;r;0
1152;5646;r;3
1153;5868;rr;0
1154;2891;rr;0
1155;1974;r;0
1156;1060;r;3
1157;1545;r;0
1158;432;rrr;0
1159;5066;rr;1
1160;954;rr;0
1161;756;rrr;1
1162;6314;r;1
1163;7323;rr;1
1164;3752;rrr;1
1165;6194;rr;0
1166;1768;rr;1
1167;7625;rrr;2
1168;7737;rrr;0
1169;5577;rrr;3
1170;3503;rr;2
1171;25;rrr;3
1172;656;rr;1
1173;5236;rr;0
1174;1641;rrr;0
1175;5980;r;0
1176;4557;rr;2
1177;6080;rr;1
1178;327;rrr;3
1179;328;rrr;1
1180;3939;rrr;3
1181;4140;rrr;0
1182;755;rr;0
1183;3974;rrr;0
1184;235;r;0
1185;6377;rrr;0
1186;1832;rrr;3
1187;5545;rr;1
1188;3628;rr;3
1189;2832;rrr;1
1190;4246;r;0
1191;2930;rr;0
1192;2115;rr;0
1193;3071;rr;0
1194;5371;r;1
1195;5372;r;3
1196;688;rr;3
1197;2815;rr;1
1198;919;r;2
1199;4822;r;3
1200;5670;rrr;2
1201;5716;rr;1
1202;2057;rrr;0
1203;1182;rrr;0
1204;519;r;1
1205;520;r;0
1206;5992;rrr;3
1207;3074;rrr;0
1208;7653;r;1
1209;7654;r;1
1210;7655;r;0
1211;7413;r;0
1212;598;r;2
1213;599;r;1
1214;4967;rrr;3
1215;434;r;1
1216;4456;r;0
1217;2986;rrr;3
1218;6266;rr;1
1219;8346;rr;0
1220;5246;rrr;0
1221;5247;rrr;1
1222;2383;r;0
1223;1168;r;1
1224;1169;rrr;0
1225;5487;r;0
1226;3525;rrr;1
1227;4972;rr;2
1228;5132;rrd;1
1229;6418;rrr;3
1230;2980;r;2
1231;6952;rr;1
1232;3920;r;0
1233;4457;rrr;1
1234;4405;rrr;2
1235;7289;r;1
1236;5543;r;1
1237;4794;r;3
1238;336;rr;0
1239;2310;r;2
1240;8363;rr;1
1241;4930;rrr;1
1242;7971;r;0
1243;7452;r;2
1244;7060;rr;1
1245;7494;rrr;1
1246;1104;rr;0
1247;978;rrr;2
1248;2044;rrr;0
1249;1707;rrr;2
1250;3349;rr;2
1251;81;rr;0
1252;4966;rr;0
1253;1405;rrr;3
1254;1387;d;3
1255;6006;rr;1
1256;7157;r;2
1257;5576;rrr;2
1258;2837;rr;1
1259;5127;rr;3
1260;5669;r;3
1261;65;rrr;3
1262;8427;r;0
1263;8428;r;1
1264;5720;rr;3
1265;7004;rrrd;1
1266;4659;rr;3
1267;7293;rrr;1
1268;6827;rr;0
1269;8108;rrr;0
1270;4803;r;0
1271;486;r;0
1272;4808;r;0
1273;4809;r;1
1274;5236;rrr;0
1275;5091;r;1
1276;5092;r;1
1277;5093;r;2
1278;6389;r;0
1279;7210;rrr;3
1280;4139;rrr;3
1281;8051;rr;3
1282;1955;r;0
1283;3061;rrr;3
1284;6958;rr;0
1285;6887;rr;0
1286;2391;rr;3
1287;6456;rr;0
1288;6457;rr;1
1289;5345;rrr;0
1290;5864;rr;1
1291;4309;r;0
1292;3631;rrr;2
1293;7557;rr;2
1294;8001;r;1
1295;3199;r;0
1296;2268;rr;1
1297;6951;rrrd;0
1298;8539;rrr;1
1299;4316;rr;0
1300;484;rr;2
1301;6452;r;3
1302;6639;rrr;1
1303;2304;rr;1
1304;3492;rrr;1
1305;5399;rr;0
1306;7295;r;0
1307;7296;r;0
1308;4381;rrr;0
1309;2213;rr;2
1310;6363;rrr;3
1311;5050;rrr;1
1312;5687;rrr;3
1313;3072;rr;3
1314;847;r;1
1315;4810;rr;1
1316;4811;rr;0
1317;2519;r;3
1318;5386;rrr;0
1319;6797;rr;3
1320;3031;rrr;0
1321;3970;rrr;1
1322;3637;r;0
1323;2979;rrd;2
1324;3975;rr;2
1325;5045;rrr;0
1326;5647;rrr;3
1327;6660;rr;0
1328;5214;rr;0
1329;5615;r;1
1330;3484;r;0
1331;6902;rr;2
1332;3197;r;2
1333;3503;rrr;2
1334;8210;r;0
1335;8451;rrr;2
1336;7213;rrr;1
1337;4283;r;0
1338;8262;r;2
1339;8263;r;2
1340;1405;rrrd;3
1341;3342;rr;0
1342;8614;rr;0
1343;5005;rr;1
1344;4353;rrr;1
1345;6073;rr;2
1346;4454;rr;0
1347;3139;rr;0
1348;1088;rrr;1
1349;502;rrr;1
1350;3390;r;3
1351;4556;r;0
1352;2294;r;1
1353;4275;r;1
1354;5508;r;1
1355;6266;r;0
1356;268;rrr;0
1357;3664;rrr;1
1358;8746;r;1
1359;8548;rr;0
1360;8549;rr;2
1361;4247;r;0
1362;246;rr;1
1363;4259;r;0
1364;3243;rr;1
1365;7080;r;2
1366;7081;r;1
1367;62;rr;2
1368;5569;r;3
1369;766;rrr;3
1370;3022;rrr;3
1371;2114;rr;2
1372;1617;rr;3
1373;6199;rrr;2
1374;6418;rr;1
1375;7289;rr;3
1376;4157;rrr;0
1377;5506;rr;0
1378;683;r;0
1379;1522;r;3
1380;4967;r;3
1381;2112;rrr;3
1382;5289;rrr;0
1383;1990;rrr;0
1384;3433;rrr;1
1385;301;rr;3
1386;924;r;3
1387;7133;rr;1
1388;3347;r;1
1389;746;rrd;0
1390;6075;rrr;0
1391;1092;rrr;1
1392;9085;r;3
